#{"t_start": 1762103691.916736, "env_id": "None"}
r,l,t
-999.0625,253,2.51051
-999.0625,253,2.562879
-999.0625,253,2.616371
-999.0625,253,2.668812
-999.0625,253,2.721942
-999.0,253,4.942619
-999.0,253,4.994602
-999.0,253,5.047509
-999.0,253,5.09944
-999.0,253,5.15211
-999.0,253,7.305018
-999.0,253,7.357538
-999.0,253,7.409392
-999.0,253,7.462066
-999.0,253,7.513541
-999.0,253,9.672292
-999.0,253,9.725129
-999.0,253,9.776957
-999.0,253,9.829827
-999.0,253,9.88159
-999.0,253,12.029696
-999.0,253,12.081568
-999.0,253,12.134317
-999.0,253,12.185857
-999.0,253,12.238002
-999.0,253,14.390869
-999.0,253,14.443479
-999.0,253,14.494377
-999.0,253,14.546082
-999.0,253,14.597146
-999.0,253,16.762846
-999.0,253,16.814284
-999.0,253,16.866506
-999.0,253,16.918459
-999.0,253,16.971198
-999.0,253,19.115923
-999.0,253,19.169036
-999.0,253,19.221752
-999.0,253,19.274691
-999.0,253,19.326273
-999.0,253,21.492869
-999.0,253,21.544784
-999.0,253,21.597644
-999.0,253,21.649895
-999.0,253,21.702767
-999.0,253,23.845326
-999.0,253,23.898313
-999.0,253,23.950351
-999.0,253,24.002935
-999.0,253,24.054623
-999.0,253,26.220868
-999.0,253,26.272817
-999.0,253,26.325914
-999.0,253,26.378298
-999.0,253,26.431157
-999.0,253,28.6112
-999.0,253,28.66344
-999.0,253,28.716286
-999.0,253,28.768549
-999.0,253,28.821282
-999.0,253,30.970933
-999.0,253,31.024088
-999.0,253,31.076252
-999.0,253,31.129522
-999.0,253,31.181456
-999.0,253,33.339066
-999.0,253,33.390824
-999.0,253,33.443571
-999.0,253,33.495595
-999.0,253,33.54846
-999.0,253,35.719308
-999.0,253,35.771407
-999.0,253,35.824426
-999.0,253,35.877373
-999.0,253,35.930901
-999.0,253,38.079792
-999.0,253,38.13292
-999.0,253,38.184445
-999.0,253,38.23711
-999.0,253,38.2889
-999.0,253,40.45659
-999.0,253,40.508872
-999.0,253,40.56203
-999.0,253,40.61419
-999.0,253,40.667537
-999.0,253,42.82685
-999.0,253,42.879305
-999.0,253,42.932358
-999.0,253,42.984916
-999.0,253,43.037909
-999.0,253,45.200062
-999.0,253,45.253215
-999.0,253,45.305469
-999.0,253,45.358679
-999.0,253,45.410881
-999.0,253,47.569431
-999.0,253,47.621332
-999.0,253,47.674673
-999.0,253,47.727161
-999.0,253,47.780415
48
-999.0,199,8.742123
-2991.75,199,8.827027
-1345.5,199,8.913867
-1562.9375,199,8.998818
-5446.5,199,9.081288
-1058.625,199,9.164744
-3325.5,199,9.252597
-2788.4375,199,9.336117
-1578.75,199,9.421327
-4195.8125,199,9.504881
-3642.6875,199,9.586392
-3048.3125,199,9.937538
-2070.5,199,10.019693
-999.0,199,10.103848
-6009.6875,199,10.18829
-3279.0,199,10.270864
-1886.6875,199,10.355458
-1835.375,199,10.437125
-4939.125,199,10.522004
-4049.375,199,10.606413
-3710.6875,199,10.687389
-4691.5625,199,10.769639
-4827.375,199,10.852958
-3555.625,199,10.933684
-999.0,199,11.018169
-3829.625,199,11.100231
-1975.625,199,11.184822
-3559.5625,199,11.267452
-4738.25,199,11.350969
-999.0,199,11.436515
-5208.875,199,11.518497
-4113.875,199,11.603278
-2582.9375,199,11.685512
-2443.75,199,11.768261
-999.0,199,11.852908
-1489.0,199,11.932957
-2368.625,199,12.281108
-1953.625,199,12.366145
-2030.75,199,12.44783
-3264.4375,199,12.531768
-999.0,199,12.613106
-999.0,199,12.698235
-2506.5625,199,12.780172
-1035.75,199,12.862001
-3508.5,199,12.946498
-1867.0,199,13.029675
-999.0,199,13.121484
-1837.375,199,13.206699
-2039.8125,199,13.285411
-1523.4375,199,13.366056
-1277.375,199,13.446422
-999.0,199,13.533605
-1846.375,199,13.616815
-1077.3125,199,13.698606
-1295.1875,199,13.78429
-999.0,199,13.866638
-1459.4375,199,13.951156
-999.0,199,14.033055
-1024.6875,199,14.114117
-999.0,199,14.20045
-1464.625,199,14.284373
-1046.0,199,14.632839
-999.0,199,14.716523
-999.0,199,14.799218
-999.0,199,14.885175
-2952.5,199,14.966494
-1418.375,199,15.051756
-999.0,199,15.135064
-999.0,199,15.218237
-2358.375,199,15.303203
-999.0,199,15.385758
-1527.5,199,15.470707
-999.0,199,15.555057
-999.0,199,15.640441
-999.0,199,15.727163
-1251.25,199,15.809697
-999.0,199,15.896123
-1187.8125,199,15.978704
-2986.5,199,16.062694
-1212.4375,199,16.147618
-1824.3125,199,16.229529
-2387.8125,199,16.313411
-3086.625,199,16.396926
-999.0,199,16.479671
-2634.0,199,16.564234
-3466.3125,199,16.645279
-1968.0,199,16.993258
-3044.8125,199,17.077531
-2998.375,199,17.160456
-1384.875,199,17.246349
-2220.25,199,17.32846
-2620.375,199,17.41252
-3000.9375,199,17.495921
-1348.4375,199,17.577565
-2250.4375,199,17.663552
-1843.4375,199,17.74541
-999.0625,199,17.830162
-3124.625,199,17.914486
-999.0625,199,17.996314
-999.0625,199,18.080523
-1102.0625,199,18.163507
-999.0625,199,18.246819
-1165.8125,199,18.326433
-999.0625,199,18.409726
-1667.3125,199,18.4929
-1405.6875,199,18.574755
-999.0625,199,18.657881
-999.0625,199,18.740892
-999.0625,199,18.821443
-999.0625,199,18.90392
-999.0625,199,18.985804
-999.0625,199,19.070205
-999.0625,199,19.426381
-999.0625,199,19.51144
-999.0625,199,19.596935
-999.0625,199,19.679785
-999.0625,199,19.763204
-999.0625,199,19.849168
-999.0625,199,19.930371
-999.0625,199,20.013836
-999.0,199,20.096146
-999.0625,199,20.17919
-999.0625,199,20.265404
-999.0625,199,20.347744
-999.0625,199,20.432642
-999.0625,199,20.514466
-999.0625,199,20.598084
-999.0625,199,20.68344
-999.0625,199,20.767829
-999.0625,199,20.853936
-999.0625,199,20.936443
-999.0625,199,21.01892
-999.0625,199,21.105184
-999.0625,199,21.188202
-999.0625,199,21.272662
-999.0625,199,21.35318
-999.0625,199,21.436857
-999.0625,199,21.786543
-999.0625,199,21.868807
-999.0625,199,21.955081
-999.0625,199,22.038466
-999.0625,199,22.121536
-999.0625,199,22.204597
-999.0625,199,22.286097
-999.0625,199,22.370574
-999.0625,199,22.453265
-999.0625,199,22.535608
-999.0625,199,22.619047
-999.0625,199,22.702178
-999.0625,199,22.788299
-999.0625,199,22.869817
-999.0625,199,22.952371
-999.0625,199,23.034515
-999.0625,199,23.117516
-999.0625,199,23.202061
-999.0625,199,23.283231
-999.0625,199,23.365778
-999.0625,199,23.448634
-999.0625,199,23.531156
-999.0625,199,23.61557
-999.0625,199,23.698337
-999.0625,199,23.779742
-999.0625,199,24.132104
-999.0625,199,24.224648
-999.0625,199,24.312243
-999.0625,199,24.390118
-999.0625,199,24.470172
-999.0625,199,24.556628
-999.0625,199,24.640464
-999.0625,199,24.725565
-999.0625,199,24.808867
-999.0625,199,24.890478
-999.0625,199,24.975205
-999.0625,199,25.056744
-999.0625,199,25.142236
-999.0625,199,25.223896
-999.0625,199,25.307793
-999.0625,199,25.391508
-999.0625,199,25.47484
